epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.9636,1.87759,3.51769,1.70143,0.3483,0.35702,0.2616,0.10334,1.91628,3.39239,1.81624,0.000473772,0.000473772,0.000473772
2,91.4763,1.8401,2.72177,1.69242,0.49215,0.31152,0.33583,0.1453,1.8362,2.74371,1.78094,0.000931294,0.000931294,0.000931294
3,135.513,1.80603,2.34988,1.70546,0.34716,0.45523,0.31451,0.13859,1.79363,3.14707,1.71745,0.00136995,0.00136995,0.00136995
4,179.112,1.77012,2.14814,1.65945,0.49362,0.45957,0.4435,0.21684,1.71454,2.03826,1.68313,0.00134412,0.00134412,0.00134412
5,222.577,1.72468,2.01222,1.62238,0.51211,0.50283,0.48102,0.25404,1.67907,1.8242,1.65793,0.00131582,0.00131582,0.00131582
6,266.244,1.67594,1.94233,1.61461,0.47924,0.46272,0.4718,0.21953,1.66072,1.97634,1.59365,0.00128753,0.00128753,0.00128753
7,309.811,1.65767,1.857,1.57227,0.57152,0.50091,0.50077,0.2611,1.60294,1.84281,1.56212,0.00125923,0.00125923,0.00125923
8,353.475,1.61966,1.78397,1.55834,0.66393,0.50109,0.57611,0.28721,1.58169,1.68481,1.53237,0.00123094,0.00123094,0.00123094
9,397.444,1.59499,1.75078,1.5473,0.68382,0.53887,0.60483,0.30149,1.51828,1.60912,1.4994,0.00120265,0.00120265,0.00120265
10,440.751,1.59011,1.72334,1.54219,0.63169,0.52344,0.56404,0.28414,1.55874,1.6517,1.52545,0.00117435,0.00117435,0.00117435
11,484.341,1.55831,1.68728,1.50662,0.65955,0.54406,0.62142,0.31848,1.5001,1.54342,1.46167,0.00114606,0.00114606,0.00114606
12,527.768,1.53414,1.64848,1.51143,0.62563,0.49666,0.56346,0.25961,1.60906,1.68092,1.5461,0.00111776,0.00111776,0.00111776
13,571.466,1.52981,1.64197,1.50158,0.6407,0.57221,0.61276,0.32344,1.46093,1.51633,1.41917,0.00108947,0.00108947,0.00108947
14,615.258,1.51309,1.59218,1.48021,0.59142,0.54356,0.5805,0.30212,1.48777,1.62618,1.47954,0.00106118,0.00106118,0.00106118
15,658.384,1.49218,1.54638,1.48347,0.74725,0.58015,0.65582,0.34821,1.4627,1.44281,1.46511,0.00103288,0.00103288,0.00103288
16,702.07,1.51648,1.54314,1.48452,0.75293,0.52928,0.64444,0.35586,1.43874,1.40943,1.41631,0.00100459,0.00100459,0.00100459
17,746.695,1.47799,1.51077,1.46202,0.65957,0.59064,0.64399,0.34531,1.47586,1.44918,1.44434,0.000976293,0.000976293,0.000976293
18,790.619,1.4746,1.4896,1.45549,0.7315,0.5816,0.67801,0.36042,1.48016,1.42414,1.43613,0.000947999,0.000947999,0.000947999
19,834.78,1.45011,1.49901,1.4587,0.67622,0.62126,0.65593,0.33767,1.52926,1.49557,1.48919,0.000919704,0.000919704,0.000919704
20,879.026,1.44679,1.41186,1.43095,0.73543,0.62114,0.68525,0.36485,1.43764,1.40772,1.42315,0.00089141,0.00089141,0.00089141
21,922.776,1.44846,1.46086,1.45109,0.70074,0.64126,0.67864,0.38068,1.42035,1.42189,1.40976,0.000863116,0.000863116,0.000863116
22,966.477,1.41448,1.43048,1.44107,0.73071,0.64635,0.70913,0.39238,1.40496,1.32601,1.42417,0.000834822,0.000834822,0.000834822
23,1010.88,1.42111,1.40385,1.43066,0.67367,0.58463,0.65631,0.36512,1.42861,1.40649,1.40806,0.000806528,0.000806528,0.000806528
24,1054.23,1.40989,1.34514,1.41586,0.75655,0.60538,0.70217,0.38665,1.43015,1.30112,1.408,0.000778233,0.000778233,0.000778233
25,1097.92,1.41601,1.3243,1.40712,0.71696,0.65716,0.71018,0.40281,1.40477,1.32969,1.38545,0.000749939,0.000749939,0.000749939
26,1141.71,1.38338,1.33699,1.39731,0.69415,0.62155,0.68393,0.38766,1.4073,1.28971,1.38754,0.000721645,0.000721645,0.000721645
27,1185.18,1.3842,1.30293,1.39146,0.73218,0.64283,0.69847,0.38635,1.39847,1.32579,1.37992,0.000693351,0.000693351,0.000693351
28,1228.34,1.38249,1.31523,1.38642,0.72753,0.70171,0.73629,0.41093,1.3889,1.25013,1.37628,0.000665057,0.000665057,0.000665057
29,1271.59,1.36802,1.28924,1.38353,0.69946,0.68185,0.72657,0.41462,1.37778,1.24407,1.37106,0.000636762,0.000636762,0.000636762
30,1315.34,1.36878,1.26887,1.38293,0.77064,0.66717,0.74407,0.42875,1.35431,1.23471,1.36644,0.000608468,0.000608468,0.000608468
