epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.6991,1.87583,3.39084,1.80627,0.31956,0.35387,0.2638,0.10725,1.84634,3.3211,1.76306,0.000473772,0.000473772,0.000473772
2,81.3203,1.79751,2.62414,1.73881,0.32267,0.38783,0.32972,0.13892,1.8125,2.56614,1.82827,0.000931294,0.000931294,0.000931294
3,120.265,1.77359,2.26963,1.7213,0.52592,0.39798,0.40008,0.1922,1.76781,2.25095,1.73113,0.00136995,0.00136995,0.00136995
4,158.884,1.74792,2.11323,1.70318,0.46367,0.47623,0.42921,0.1992,1.68828,2.62988,1.68826,0.00134412,0.00134412,0.00134412
5,197.793,1.70058,1.98889,1.65138,0.55714,0.48879,0.50237,0.24389,1.71363,1.97028,1.69823,0.00131582,0.00131582,0.00131582
6,236.709,1.65666,1.91803,1.65522,0.5331,0.47274,0.48887,0.24378,1.65132,1.82595,1.67664,0.00128753,0.00128753,0.00128753
7,275.529,1.62949,1.83482,1.61473,0.63698,0.4513,0.50009,0.243,1.58229,1.88706,1.59103,0.00125923,0.00125923,0.00125923
8,314.719,1.60641,1.76859,1.59399,0.57251,0.51506,0.53936,0.26352,1.58382,1.72608,1.55522,0.00123094,0.00123094,0.00123094
9,354.415,1.57178,1.72199,1.56351,0.68126,0.49084,0.56846,0.27658,1.63541,1.67667,1.62029,0.00120265,0.00120265,0.00120265
10,394.028,1.56107,1.73916,1.55809,0.70857,0.54319,0.63153,0.34341,1.45092,1.56335,1.47248,0.00117435,0.00117435,0.00117435
11,432.924,1.53079,1.6617,1.54982,0.6745,0.56038,0.60583,0.30263,1.5034,1.69879,1.50795,0.00114606,0.00114606,0.00114606
12,471.233,1.51474,1.65645,1.54704,0.62008,0.51776,0.5756,0.28739,1.52115,1.71078,1.51083,0.00111776,0.00111776,0.00111776
13,510.363,1.51575,1.62644,1.53623,0.70911,0.58505,0.64129,0.35335,1.43586,1.52626,1.43889,0.00108947,0.00108947,0.00108947
14,548.587,1.49188,1.56666,1.51392,0.65778,0.53741,0.59574,0.31447,1.51302,1.6249,1.5095,0.00106118,0.00106118,0.00106118
15,586.971,1.48617,1.53124,1.51169,0.73201,0.62943,0.68522,0.35713,1.50892,1.43301,1.49074,0.00103288,0.00103288,0.00103288
16,626.496,1.49047,1.52799,1.50578,0.67182,0.63401,0.67023,0.3678,1.42428,1.44036,1.44326,0.00100459,0.00100459,0.00100459
17,666.312,1.46071,1.48996,1.47727,0.66944,0.61742,0.65253,0.35297,1.42817,1.53103,1.43585,0.000976293,0.000976293,0.000976293
18,705.204,1.4569,1.46978,1.47978,0.71696,0.59669,0.68405,0.38045,1.40623,1.40718,1.42667,0.000947999,0.000947999,0.000947999
19,744.083,1.4374,1.48785,1.47761,0.75308,0.59337,0.68539,0.37441,1.42809,1.42827,1.43739,0.000919704,0.000919704,0.000919704
20,783.205,1.42084,1.41072,1.44539,0.7189,0.58028,0.65076,0.35438,1.45541,1.4606,1.45673,0.00089141,0.00089141,0.00089141
21,822.601,1.43588,1.44964,1.47761,0.77187,0.60947,0.69814,0.38826,1.41647,1.39514,1.42496,0.000863116,0.000863116,0.000863116
22,862.008,1.39961,1.40181,1.46306,0.74566,0.59961,0.69413,0.39558,1.38274,1.36071,1.4134,0.000834822,0.000834822,0.000834822
23,901.631,1.40449,1.37963,1.45092,0.76748,0.61111,0.69853,0.39351,1.38984,1.34319,1.41545,0.000806528,0.000806528,0.000806528
24,941.037,1.38732,1.34925,1.42652,0.75696,0.62643,0.70909,0.40049,1.41044,1.29126,1.43155,0.000778233,0.000778233,0.000778233
25,981.151,1.39486,1.32354,1.42882,0.73869,0.65486,0.72206,0.41239,1.36902,1.2969,1.4079,0.000749939,0.000749939,0.000749939
26,1020.11,1.36291,1.32179,1.41809,0.75891,0.63302,0.70842,0.41053,1.37248,1.25639,1.40174,0.000721645,0.000721645,0.000721645
27,1059.18,1.36522,1.28842,1.414,0.68232,0.67483,0.68653,0.39393,1.37188,1.38801,1.38675,0.000693351,0.000693351,0.000693351
28,1098.47,1.36913,1.31409,1.41021,0.80101,0.67517,0.74817,0.43103,1.36767,1.23997,1.39905,0.000665057,0.000665057,0.000665057
29,1137.37,1.34937,1.27358,1.41054,0.79682,0.65471,0.7325,0.41219,1.40449,1.23521,1.41968,0.000636762,0.000636762,0.000636762
30,1176.73,1.33933,1.27299,1.40544,0.77301,0.69735,0.74164,0.43497,1.3898,1.22535,1.40072,0.000608468,0.000608468,0.000608468
31,1216.49,1.34365,1.24325,1.40505,0.79401,0.65982,0.7402,0.43231,1.3451,1.22843,1.38493,0.000580174,0.000580174,0.000580174
32,1255.86,1.32838,1.21771,1.39303,0.85107,0.64219,0.75932,0.44899,1.35631,1.15395,1.38071,0.00055188,0.00055188,0.00055188
33,1295.01,1.31348,1.21334,1.3795,0.76943,0.65577,0.74241,0.42651,1.32846,1.22215,1.37076,0.000523586,0.000523586,0.000523586
34,1334.25,1.32558,1.21394,1.38782,0.79502,0.6892,0.74671,0.44222,1.35411,1.19211,1.37627,0.000495291,0.000495291,0.000495291
35,1373.25,1.30618,1.19581,1.37512,0.79265,0.69295,0.75699,0.4429,1.34657,1.18036,1.38027,0.000466997,0.000466997,0.000466997
36,1412.6,1.28627,1.14969,1.35881,0.79195,0.69154,0.75919,0.45208,1.34122,1.15942,1.37941,0.000438703,0.000438703,0.000438703
37,1451.85,1.28854,1.15144,1.35465,0.80859,0.69095,0.77029,0.4569,1.36228,1.09762,1.39695,0.000410409,0.000410409,0.000410409
38,1490.04,1.28164,1.11554,1.35499,0.80403,0.70728,0.77778,0.46669,1.35369,1.10714,1.38287,0.000382115,0.000382115,0.000382115
39,1528.86,1.26675,1.09303,1.35302,0.83859,0.70801,0.78061,0.4656,1.35506,1.09821,1.39346,0.00035382,0.00035382,0.00035382
40,1567.79,1.25713,1.10314,1.34184,0.81484,0.71656,0.78181,0.46593,1.34045,1.077,1.37033,0.000325526,0.000325526,0.000325526
41,1608.02,1.26738,1.02618,1.36379,0.80621,0.73082,0.79387,0.47702,1.31155,1.06931,1.36343,0.000297232,0.000297232,0.000297232
42,1646.15,1.22976,0.99046,1.34293,0.8256,0.69991,0.78265,0.47601,1.30366,1.06979,1.35417,0.000268938,0.000268938,0.000268938
43,1683.9,1.21352,0.95355,1.33126,0.81866,0.70383,0.78186,0.47155,1.31484,1.07619,1.36221,0.000240644,0.000240644,0.000240644
44,1721.82,1.19142,0.93744,1.31843,0.79584,0.74111,0.79045,0.48666,1.30044,1.0449,1.34316,0.000212349,0.000212349,0.000212349
45,1759.76,1.1923,0.93365,1.31259,0.84682,0.70957,0.78813,0.48412,1.29243,1.02032,1.33859,0.000184055,0.000184055,0.000184055
46,1797.73,1.18412,0.90988,1.30419,0.80563,0.75443,0.78785,0.49046,1.27529,1.01915,1.32573,0.000155761,0.000155761,0.000155761
47,1835.88,1.17209,0.90203,1.29579,0.79912,0.74092,0.79502,0.49608,1.3015,1.01674,1.34671,0.000127467,0.000127467,0.000127467
48,1874.66,1.16172,0.88052,1.28869,0.85034,0.73777,0.80278,0.50028,1.28091,0.99678,1.34123,9.91726e-05,9.91726e-05,9.91726e-05
49,1912.95,1.14072,0.86531,1.28036,0.84755,0.72163,0.79898,0.4929,1.2889,1.00324,1.34575,7.08784e-05,7.08784e-05,7.08784e-05
50,1951.63,1.13709,0.86663,1.28338,0.8393,0.73288,0.80481,0.49795,1.27588,0.99328,1.33901,4.25842e-05,4.25842e-05,4.25842e-05
